OTU	domain	phylum	class	order	family	genus	species	SRR22993528	SRR22993529	SRR22993530	SRR22993531	SRR22993532	SRR22993533	SRR22993534	SRR22993535	SRR22993536	SRR22993537	SRR22993538	SRR22993539	SRR22993540	SRR22993541	SRR22993542	SRR22993543	SRR22993544	SRR22993545	SRR22993546	SRR22993547	SRR22993548	SRR22993549	SRR22993550	SRR22993551
122	ASV122	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	NA	0	0	66	69	243	174	0	65	53	65	35	79	0	24	10	0	0	0	0	0	0	0	97	0
123	ASV123	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	275	0	0	695	0	0	0	0	0	0	0	0	0
124	ASV124	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas	NA	0	0	35	54	79	60	0	98	56	58	58	56	26	71	43	14	21	32	34	28	22	26	98	0
125	ASV125	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	0	0	63	101	140	78	0	24	28	66	29	109	106	0	41	26	122	0	0	0	0	0	34	0
126	ASV126	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	0	8	34	27	24	0	0	7	82	64	75	25	152	0	89	45	271	0	0	43	0	0	0	17
127	ASV127	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	0	0	13	59	76	59	108	34	0	0	104	84	0	56	52	59	34	0	13	184	0	0	22	0
128	ASV128	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-004	NA	0	0	39	139	226	133	0	52	0	0	183	104	0	53	0	0	0	9	0	0	16	0	0	0
129	ASV129	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	NA	0	14	0	0	0	0	0	0	0	0	0	0	0	249	0	662	0	0	0	0	0	28	0	0
130	ASV130	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	489	0	0	0	458	0	0	0	0	0	0	0
131	ASV131	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	0	14	36	39	65	64	0	36	96	191	12	41	12	0	43	31	14	21	19	82	45	33	48	0
132	ASV132	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	NA	0	0	0	0	0	0	0	60	9	15	42	0	0	798	0	17	0	0	0	0	0	0	0	0
